Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"R336","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",179.905991,-111.923619,0.000000,top
"R337","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 226Ω 0805  Chip Resistor - Surface Mount ROHS","R0805",180.637582,-110.414130,0.000000,top
"R338","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",187.667566,-111.954232,90.000000,top
"R339","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",186.679670,-111.965269,90.000000,top
"R340","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 11.5kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",179.770383,-86.200311,180.000000,top
"R341","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 6.2kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",179.770383,-85.184311,180.000000,top
"R342","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",179.845921,-134.106605,180.000000,top
"R343","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",187.080323,-136.373536,0.000000,top
"R344","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 14kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",196.251681,-78.295434,0.000000,top
"R345","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 24kΩ 0402  Chip Resistor - Surface Mount ROHS","R0402",192.758170,-94.026839,90.000000,top
"R346","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 37.4kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",193.224913,-92.550311,0.000000,top
"R347","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",195.256913,-92.550311,0.000000,top
"R348","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",194.334286,-91.601636,0.000000,top
"R349","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 43kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",195.935684,-100.264433,-90.000000,top
"R350","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 60.4kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",193.732913,-100.265372,90.000000,top
"R351","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",196.947737,-100.263407,90.000000,top
"R352","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",192.710853,-98.025818,-90.000000,top
"R353","125mW Thick Film Resistors 150V ±1% 100mΩ 0805 Chip Resistor - Surface Mount ROHS","R0805",189.784679,-116.292311,-90.000000,top
"R354","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 13kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",193.424913,-128.992311,180.000000,top
